クラス名,HP,力,魔力,技,速さ,幸運,守備,魔防
ダークプリンス,15,15,10,10,10,10,10,5
白の血族,15,15,10,10,10,10,15,0
ダークブラッド,15,10,15,5,15,5,5,15
竜,15,15,10,10,10,10,10,5
歌姫,0,10,0,20,20,20,0,0
侍,10,10,0,15,20,15,0,10
剣聖,10,10,5,15,20,15,0,10
兵法者,20,15,0,10,10,10,10,0
鬼人,20,20,10,0,10,0,20,0
修羅,10,20,15,0,10,0,20,5
鍛冶,20,15,0,15,10,5,15,0
槍術士,15,15,0,15,15,5,10,5
槍聖,15,15,0,15,15,5,10,5
婆娑羅,20,10,10,10,10,15,5,10
呪い師,0,5,15,10,15,5,0,10
陰陽師,0,0,20,10,15,0,0,15
修験者,0,5,10,10,15,15,0,20
巫女,0,5,10,10,15,15,0,20
山伏,10,15,5,5,15,15,10,10
戦巫女,10,10,10,5,15,15,0,20
天馬武者,0,10,0,10,15,20,0,20
聖天馬武者,0,10,10,10,15,20,0,20
金鵄武者,0,5,0,15,15,15,0,15
弓使い,10,15,0,15,15,5,10,0
弓聖,10,15,0,20,15,5,10,0
忍,5,5,0,20,20,0,5,15
上忍,5,5,0,20,20,0,5,20
絡繰師,10,10,0,15,10,5,5,15
薬商人,20,20,0,10,10,5,10,5
大商人,20,20,0,10,5,15,10,5
妖狐,10,10,0,15,20,10,0,20
九尾の狐,10,10,0,15,20,10,0,20
村人,10,10,0,10,10,20,10,0
ソシアルナイト,10,15,0,10,10,15,10,5
パラディン,10,15,0,10,10,15,10,10
グレートナイト,20,20,0,10,5,5,20,0
アーマーナイト,20,20,0,15,5,10,20,0
ジェネラル,25,20,0,15,0,10,20,5
アクスファイター,20,20,0,15,15,5,5,0
バーサーカー,30,25,0,15,15,0,0,0
マーシナリー,10,15,0,20,15,5,10,5
ブレイブヒーロー,20,15,0,20,15,5,10,0
ボウナイト,10,10,0,15,15,10,0,10
シーフ,0,10,5,10,20,0,0,20
アドベンチャラー,0,5,15,5,20,0,0,20
ドラゴンナイト,10,15,5,10,10,5,20,0
ドラゴンマスター,10,15,0,15,10,5,20,0
レヴナントナイト,0,15,15,10,5,0,10,15
ダークマージ,0,10,20,0,10,0,5,10
ソーサラー,0,0,25,0,10,0,5,15
ダークナイト,15,20,10,5,5,5,15,5
ロッドナイト,0,0,10,20,10,15,0,15
ストラテジスト,0,0,15,5,10,20,0,15
バトラー,0,10,10,15,15,10,5,10
メイド,0,10,10,15,15,10,5,10
ガルー,20,20,0,5,15,5,10,0
マーナガルム,20,20,0,5,15,5,10,0
ランサー,10,10,0,10,10,5,10,10
魔戦士,15,15,5,5,15,0,5,20
ダークファルコン,0,10,15,5,15,15,0,20
シューター,5,25,0,15,0,10,5,5
魔女,5,0,25,5,20,5,0,10
