クラス名,HP,力,魔力,技,速さ,幸運,守備,魔防
ダークプリンス,17,7,3,4,5,2,5,2
ダークプリンセス,17,7,3,4,5,2,5,2
白の血族,19,10,4,5,6,4,7,3
ダークブラッド,18,8,6,4,7,2,6,6
竜,17,25,20,20,14,18,19,12
歌姫,16,3,0,6,5,3,2,3
侍,17,4,0,5,8,3,3,3
鬼人,18,6,1,2,5,0,7,1
槍術士,17,6,0,6,6,2,5,2
呪い師,15,0,4,5,6,1,1,3
薬商人,18,6,0,4,4,2,6,2
修験者,16,0,3,5,5,4,2,5
巫女,16,0,3,5,5,4,2,5
天馬武者,16,3,0,5,7,4,2,6
弓使い,17,5,0,7,5,2,4,1
忍,16,3,0,8,8,1,3,3
妖狐,16,5,1,6,8,4,1,4
村人,17,5,0,4,5,3,4,0
剣聖,18,6,2,7,11,4,5,5
兵法者,20,8,0,6,9,3,7,3
大商人,20,8,0,6,5,4,8,5
絡繰師,18,7,0,9,7,2,6,6
上忍,17,5,0,10,11,2,4,8
修羅,19,9,5,2,7,0,10,5
鍛冶,21,8,0,9,8,3,8,2
槍聖,18,9,0,8,8,3,7,3
婆娑羅,20,7,5,7,7,5,7,6
陰陽師,16,0,7,6,7,2,3,6
山伏,19,8,6,6,8,5,6,7
戦巫女,19,6,7,6,9,5,5,8
弓聖,19,7,0,10,9,3,6,2
金鵄武者,17,4,1,9,8,5,4,7
聖天馬武者,18,5,4,6,10,5,5,9
九尾の狐,19,6,2,9,10,5,2,8
ソシアルナイト,17,6,0,5,5,3,5,3
アーマーナイト,19,8,0,5,3,3,8,1
アクスファイター,19,7,0,6,6,2,4,1
マーシナリー,17,5,0,7,6,2,5,2
シーフ,16,3,1,4,8,1,2,4
ドラゴンナイト,17,6,0,5,4,2,7,0
ダークマージ,16,0,6,3,3,1,3,5
ロッドナイト,15,0,3,7,5,4,1,4
ガルー,19,8,0,4,6,0,4,0
パラディン,19,8,1,7,7,4,7,6
グレートナイト,21,10,0,6,6,3,10,2
ジェネラル,22,11,0,7,3,4,12,3
バーサーカー,24,12,0,8,9,0,5,0
ブレイブヒーロー,20,8,0,10,8,3,7,2
ボウナイト,18,6,0,8,9,3,5,6
アドベンチャラー,17,4,6,6,10,2,3,8
ドラゴンマスター,19,8,0,9,6,3,10,1
レヴナントナイト,18,7,6,6,5,0,8,6
ソーサラー,17,0,9,4,6,1,5,8
ダークナイト,19,8,6,6,5,3,8,6
ストラテジスト,16,0,7,6,7,5,2,7
バトラー,18,4,5,9,8,4,5,4
メイド,18,4,5,9,8,4,5,4
マーナガルム,22,11,0,6,7,1,7,1
魔戦士,19,8,3,6,8,1,6,9
ダークファルコン,17,4,7,5,9,4,3,9
シューター,18,10,0,7,2,4,3,1
魔女,17,0,10,5,9,3,4,5
